Type	Item	Gem	Rune	Mod1	Mod2	Mod3	Mod4	Mod5
Blood	Gloves	Ruby	Nef					
Blood	Boots	Ruby	Eth					
Blood	Shield	Ruby	Ith					
Blood	Belt	Ruby	Tal					
Blood	Helm	Ruby	Ral					
Blood	Weapon	Ruby	Ort					
Blood	Chest	Ruby	Thul					
Blood	Amulet	Ruby	Amn					
Blood	Ring	Ruby	Sol					
Caster	Gloves	Amethyst	Ort					
Caster	Boots	Amethyst	Thul					
Caster	Shield	Amethyst	Eth					
Caster	Belt	Amethyst	Ith					
Caster	Helm	Amethyst	Nef					
Caster	Weapon	Amethyst	Tir					
Caster	Chest	Amethyst	Tal					
Caster	Amulet	Amethyst	Ral					
Caster	Ring	Amethyst	Amn					
Hit Power	Gloves	Sapphire	Ort					
Hit Power	Boots	Sapphire	Ral					
Hit Power	Shield	Sapphire	Eth					
Hit Power	Belt	Sapphire	Tal					
Hit Power	Helm	Sapphire	Ith					
Hit Power	Weapon	Sapphire	Tir					
Hit Power	Chest	Sapphire	Nef					
Hit Power	Amulet	Sapphire	Thul					
Hit Power	Ring	Sapphire	Amn					
Safety	Gloves	Emerald	Ral					
Safety	Boots	Emerald	Ort					
Safety	Shield	Emerald	Nef					
Safety	Belt	Emerald	Tal					
Safety	Helm	Emerald	Ith					
Safety	Weapon	Emerald	Sol					
Safety	Chest	Emerald	Eth					
Safety	Amulet	Emerald	Thul					
Safety	Ring	Emerald	Amn					
