NameStr	qlvl	mlvl
cap	1	
skp	5	
hlm	11	
fhl	15	
ghm	23	
crn	29	
msk	19	
qui	1	
lea	3	
hla	5	
stu	8	
rng	11	
scl	13	
chn	15	
brs	18	
spl	20	
plt	24	
fld	28	
gth	32	
ful	37	
aar	40	
ltp	35	
buc	1	
sml	5	
lrg	11	
kit	15	
tow	22	
gts	30	
lgl	3	
vgl	7	
mgl	12	
tgl	20	
hgl	27	
lbt	3	
vbt	7	
mbt	12	
tbt	20	
hbt	27	
lbl	3	
vbl	7	
mbl	12	
tbl	20	
hbl	27	
bhm	22	
bsh	19	
spk	11	
xap	34	
xkp	37	
xlm	42	
xhl	45	
xhm	51	
xrn	55	
xsk	48	
xui	34	
xea	36	
xla	37	
xtu	40	
xng	42	
xcl	43	
xhn	45	
xrs	47	
xpl	49	
xlt	52	
xld	55	
xth	58	
xul	61	
xar	64	
xtp	60	
xuc	34	
xml	37	
xrg	42	
xit	45	
xow	50	
xts	56	
xlg	33	
xvg	39	
xmg	43	
xtg	49	
xhg	54	
xlb	36	
xvb	39	
xmb	43	
xtb	49	
xhb	54	
zlb	36	
zvb	39	
zmb	43	
ztb	49	
zhb	54	
xh9	50	
xsh	48	
xpk	42	
dr1	4	
dr2	8	
dr3	16	
dr4	20	
dr5	24	
ba1	4	
ba2	8	
ba3	16	
ba4	20	
ba5	24	
pa1	4	
pa2	8	
pa3	16	
pa4	20	
pa5	24	
ne1	4	
ne2	8	
ne3	16	
ne4	20	
ne5	24	
ci0	24	3
ci1	52	8
ci2	70	13
ci3	85	18
uap	58	
ukp	63	
ulm	68	
uhl	54	
uhm	79	
urn	85	
usk	74	
uui	65	
uea	67	
ula	68	
utu	70	
ung	72	
ucl	73	
uhn	62	
urs	75	
upl	76	
ult	78	
uld	81	
uth	82	
uul	83	
uar	85	
utp	84	
uuc	58	
uml	61	
urg	64	
uit	72	
uow	79	
uts	84	
ulg	57	
uvg	63	
umg	69	
utg	76	
uhg	85	
ulb	60	
uvb	66	
umb	72	
utb	81	
uhb	85	
ulc	61	
uvc	68	
umc	75	
utc	82	
uhc	85	
uh9	84	
ush	76	
upk	68	
dr6	35	
dr7	40	
dr8	46	
dr9	50	
dra	55	
ba6	33	
ba7	38	
ba8	44	
ba9	49	
baa	54	
pa6	35	
pa7	40	
pa8	46	
pa9	51	
paa	55	
ne6	33	
ne7	39	
ne8	45	
ne9	49	
nea	54	
drb	62	
drc	69	
drd	76	
dre	83	
drf	85	
bab	60	
bac	66	
bad	73	
bae	80	
baf	85	
pab	63	
pac	70	
pad	74	
pae	82	
paf	85	
neb	59	
neg	67	
ned	66	
nee	81	
nef	85	
amu	0	
rin	0	
hax	3	
axe	7	
2ax	13	
mpi	19	
wax	25	
lax	6	
bax	12	
btx	17	
gax	23	
gix	27	
wnd	2	1
ywn	12	1
bwn	18	1
gwn	26	1
clb	1	
scp	3	
gsc	15	
wsp	21	
spc	4	
mac	8	
mst	13	
fla	19	
whm	25	
mau	21	
gma	32	
ssd	1	
scm	5	
sbr	8	
flc	11	
crs	11	
bsd	15	
lsd	20	
wsd	27	
2hs	10	
clm	17	
gis	21	
bsw	24	
flb	27	
gsd	33	
dgr	3	
dir	9	
kri	17	
bld	23	
tkf	2	
tax	7	
bkf	13	
bal	16	
jav	1	
pil	10	
ssp	15	
glv	23	
tsp	29	
spr	5	
tri	9	
brn	16	
spt	20	
pik	24	
bar	5	
vou	11	
scy	15	
pax	21	
hal	29	
wsc	34	
sst	1	1
lst	8	1
cst	12	1
bst	17	1
wst	24	1
sbw	1	
hbw	5	
lbw	8	
cbw	12	
sbb	18	
lbb	23	
swb	27	
lwb	31	
lxb	6	
mxb	15	
hxb	24	
rxb	33	
gps	32	
ops	28	
gpm	20	
opm	16	
gpl	8	
opl	4	
d33	0	
g33	0	
leg	0	
hdm	0	
hfh	0	
hst	0	
msf	0	
9ha	31	
9ax	34	
92a	39	
9mp	43	
9wa	48	
9la	34	
9ba	38	
9bt	42	
9ga	46	
9gi	51	
9wn	31	1
9yw	38	1
9bw	43	1
9gw	49	1
9cl	30	
9sc	31	
9qs	40	
9ws	45	
9sp	32	
9ma	35	
9mt	39	
9fl	43	
9wh	48	
9m9	45	
9gm	53	
9ss	30	
9sm	43	
9sb	35	
9fc	37	
9cr	37	
9bs	40	
9ls	44	
9wd	49	
92h	37	
9cm	42	
9gs	45	
9b9	48	
9fb	49	
9gd	54	
9dg	31	
9di	36	
9kr	42	
9bl	46	
9tk	31	
9ta	34	
9bk	39	
9b8	41	
9ja	30	
9pi	37	
9s9	40	
