Stat	ID	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2
corruptor	361	253	0	0	StrCorruptNum	StrCorruptNum							
strength	0	67	1	1	ModStr1a	ModStr1a		1	1	1	Moditem2allattrib	Moditem2allattrib	
energy	1	61	1	1	ModStr1d	ModStr1d		1	1	1	Moditem2allattrib	Moditem2allattrib	
dexterity	2	65	1	1	ModStr1b	ModStr1b		1	1	1	Moditem2allattrib	Moditem2allattrib	
vitality	3	63	1	1	ModStr1c	ModStr1c		1	1	1	Moditem2allattrib	Moditem2allattrib	
maxhp	7	59	1	1	ModStr1u	ModStr1u							
maxmana	9	55	1	1	ModStr1e	ModStr1e							
maxstamina	11	51	1	1	ModStr5d	ModStr5d							
tohit	19	115	1	1	ModStr1h	ModStr1h							
mindamage	21	127	1	1	ModStr1g	ModStr1g							
maxdamage	22	126	1	1	ModStr1f	ModStr1f							
secondary_mindamage	23	124	1	1	ModStr1g	ModStr1g							
secondary_maxdamage	24	123	1	1	ModStr1f	ModStr1f							
armorclass	31	71	1	1	ModStr1i	ModStr1i							
armorclass_vs_missile	32	69	1	1	ModStr6a	ModStr6a							
armorclass_vs_hth	33	70	1	1	ModStr6b	ModStr6b							
firemindam	48	102	1	1	ModStr1p	ModStr1p							
firemaxdam	49	101	1	1	ModStr1o	ModStr1o							
lightmindam	50	99	1	1	ModStr1r	ModStr1r							
lightmaxdam	51	98	1	1	ModStr1q	ModStr1q							
magicmindam	52	104	1	1	strModMagicDamage	strModMagicDamage							
magicmaxdam	53	103	1	1	strModMagicDamage	strModMagicDamage							
coldmindam	54	96	1	1	ModStr1t	ModStr1t							
coldmaxdam	55	95	1	1	ModStr1s	ModStr1s							
poisonmindam	57	92	1	1	ModStr4i	ModStr4i							
poisonmaxdam	58	91	1	1	ModStr4h	ModStr4h							
hpregen	74	56	1	2	ModStr2l	ModStr2w							
item_healafterkill	86	16	1	1	ModitemHPaK	ModitemHPaK							
item_lightradius	89	6	1	1	ModStr3f	ModStr3f							
item_normaldamage	111	122	1	2	ModStr5b	ModStr5b							
item_damagetargetac	120	75	1	1	ModStr4d	ModStr4d							
item_demon_tohit	123	110	1	1	ModStr4j	ModStr4j							
item_undead_tohit	124	106	1	1	ModStr4k	ModStr4k							
item_allskills	127	158	1	1	ModStr3k	ModStr3k							
item_kickdamage	137	121	1	1	ModStr5e	ModStr5e							
item_manaafterkill	138	16	1	1	ModStr5f	ModStr5f							
item_healafterdemonkill	139	15	1	1	ModStr6c	ModStr6c							
item_absorbfire	143	27	1	1	ModStr5h	ModStr5h							
item_absorblight	145	29	1	1	ModStr5j	ModStr5j							
item_absorbmagic	147	33	1	1	ModStr5l	ModStr5l							
item_absorbcold	149	31	1	1	ModStr5n	ModStr5n							
item_elemskill_cold	362	157	1	1	ModStrColdskills	ModStrColdskills							
item_elemskill_fire	363	157	1	1	ModStrFireskills	ModStrFireskills							
item_elemskill_lightning	364	157	1	1	ModStrLightningskills	ModStrLightningskills							
item_elemskill_poison	365	157	1	1	ModStrPoisonskills	ModStrPoisonskills							
item_elemskill_magic	366	157	1	1	ModStrMagicskills	ModStrMagicskills							
max_curses	368	160	1	1	StrToMaxCurses	StrToMaxCurses							
map_glob_arealevel	374	205	1	1	MapGlobLevel	MapGlobLevel							
item_healafterhit	424	16	1	1	ModItemHPaH	ModItemHPaH							
toblock	20	134	2	1	ModStr3g	ModStr3g							
manarecoverybonus	27	52	2	2	ModStr4g	ModStr4g							
staminarecoverybonus	28	48	2	2	ModStr3v	ModStr3v							
damageresist	36	22	2	2	ModStr2u	ModStr2u							
lifedrainmindam	60	88	2	1	ModStr2z	ModStr2z							
manadrainmindam	62	89	2	1	ModStr2y	ModStr2y							
item_maxdurability_percent	75	3	2	2	ModStr2i	ModStr2i							
item_maxhp_percent	76	58	2	2	ModStr2g	ModStr2g							
item_maxmana_percent	77	54	2	2	ModStr2h	ModStr2h							
item_goldbonus	79	10	2	1	ModStr1w	ModStr1w							
item_magicbonus	80	8	2	1	ModStr1x	ModStr1x							
item_reducedprices	87	8	2	2	ModitemRedVendP	ModitemRedVendP							
curse_resistance	109	100	2	1	ModReduceCurseDuration	ModReduceCurseDuration							
item_poisonlengthresist	110	18	2	2	ModStr3r	ModStr3r							
item_damagetomana	114	11	2	1	ModStr3w	ModStr3w							
item_tohit_percent	119	117	2	1	ModStr4c	ModStr4c							
item_openwounds	135	83	2	1	ModStr3m	ModStr3m							
item_crushingblow	136	87	2	1	ModStr5c	ModStr5c							
item_deadlystrike	141	85	2	1	ModStr5q	ModStr5q							
item_absorbfire_percent	142	23	2	2	ModStr5g	ModStr5g							
item_absorblight_percent	144	24	2	2	ModStr5i	ModStr5i							
item_absorbmagic_percent	146	26	2	2	ModStr5k	ModStr5k							
item_absorbcold_percent	148	25	2	2	ModStr5m	ModStr5m							
item_slow	150	77	2	2	ModStr5r	ModStr5r							
item_staminadrainpct	154	49	2	1	ModStr6e	ModStr6e							
map_defense	369	253	2	1	StrCorruptNum	StrCorruptNum							
item_maxdamage_percent	17	129	3	0	ModStr2j	ModStr2j							
item_mindamage_percent	18	130	3	0	ModStr2k	ModStr2k							
normal_damage_reduction	34	22	3	2	ModStr2u	ModStr2u							
magic_damage_reduction	35	21	3	2	ModStr2t	ModStr2t							
item_attackertakesdamage	78	13	3	2	ModStr1v	ModStr1v							
item_knockback	81	76	3	0	ModStr1y	ModStr1y							
item_restinpeace	108	81	3	0	ModitemSMRIP	ModitemSMRIP							
item_ignoretargetac	115	119	3	0	ModStr3y	ModStr3y							
item_preventheal	117	81	3	0	ModStr4a	ModStr4a							
item_halffreezeduration	118	19	3	0	ModStr4b	ModStr4b							
item_throwable	125	5	3	0	ModStr5a	ModStr5a							
item_attackertakeslightdamage	128	14	3	2	ModStr3j	ModStr3j							
item_indesctructible	152	160	3	0	ModStre9s	ModStre9s							
item_cannotbefrozen	153	20	3	0	ModStr5z	ModStr5z							
item_magicarrow	157	131	3	0	ModStr6h	ModStr6h							
item_explosivearrow	158	133	3	0	ModStr6i	ModStr6i							
item_replenish_quantity	253	2	3	0	ModStre9v	ModStre9v							
item_extra_stack	254	4	3	0	ModStre9i	ModStre9i							
corrupted	360	254	3	0	StrCorrupted	StrCorrupted							
item_replenish_charges	422	1	3	0	ModStrRepCharge1	ModStrRepCharge1	ModStrRepCharge2						
map_glob_add_mon_doll	437	160	3	0	MapAddMonDoll	MapAddMonDoll							
map_glob_add_mon_succ	438	160	3	0	MapAddMonSucc	MapAddMonSucc							
map_glob_add_mon_vamp	439	160	3	0	MapAddMonVamp	MapAddMonVamp							
map_glob_add_mon_cow	440	160	3	0	MapAddMonCow	MapAddMonCow							
map_glob_add_mon_horde	441	160	3	0	MapAddMonHorde	MapAddMonHorde							
map_glob_add_mon_ghost	442	160	3	0	MapAddMonGhost	MapAddMonGhost							
heroic	458	255	3	0	StrHeroic	StrHeroic							
item_armor_percent	16	74	4	1	Modstr2v	Modstr2v							
damagepercent	25	130	4	1	strModEnhancedDamage	strModEnhancedDamage							
magicresist	37	41	4	2	ModStr1m	ModStr1m							
maxmagicresist	38	46	4	1	ModStr5x	ModStr5x							
fireresist	39	36	4	2	ModStr1j	ModStr1j		2	19		strModAllResistances	strModAllResistances	
maxfireresist	40	42	4	1	ModStr5u	ModStr5u							
lightresist	41	38	4	2	ModStr1l	ModStr1l		2	19		strModAllResistances	strModAllResistances	
maxlightresist	42	43	4	1	ModStr5w	ModStr5w							
coldresist	43	40	4	2	ModStr1k	ModStr1k		2	19		strModAllResistances	strModAllResistances	
maxcoldresist	44	44	4	1	ModStr5v	ModStr5v							
poisonresist	45	34	4	2	ModStr1n	ModStr1n		2	19		strModAllResistances	strModAllResistances	
