code	val1	stat1	stat2	stat3	stat4	stat5	stat6	stat7
ac		armorclass						
ac-miss		armorclass_vs_missile						
ac-hth		armorclass_vs_hth						
red-dmg		normal_damage_reduction						
red-dmg%		damageresist						
ac%		item_armor_percent						
red-mag		magic_damage_reduction						
str		strength						
dex		dexterity						
vit		vitality						
enr		energy						
mana		maxmana						
mana%		item_maxmana_percent						
hp		maxhp						
hp%		item_maxhp_percent						
att		tohit						
block		toblock						
cold-min		coldmindam						
cold-max		coldmaxdam						
cold-len		coldlength						
fire-min		firemindam						
fire-max		firemaxdam						
ltng-min		lightmindam						
ltng-max		lightmaxdam						
pois-min		poisonmindam						
pois-max		poisonmaxdam						
pois-len		poisonlength						
dmg-min								
dmg-max								
dmg%								
dmg-to-mana		item_damagetomana						
res-fire		fireresist						
res-fire-max		maxfireresist						
res-ltng		lightresist						
res-ltng-max		maxlightresist						
res-cold		coldresist						
res-cold-max		maxcoldresist						
res-mag		magicresist						
res-mag-max		maxmagicresist						
res-pois		poisonresist						
res-pois-max		maxpoisonresist						
res-all		fireresist	lightresist	coldresist	poisonresist			
res-all-max		maxfireresist	maxlightresist	maxcoldresist	maxpoisonresist			
abs-fire%		item_absorbfire_percent						
abs-fire		item_absorbfire						
abs-ltng%		item_absorblight_percent						
abs-ltng		item_absorblight						
abs-mag%		item_absorbmagic_percent						
abs-mag		item_absorbmagic						
abs-cold%		item_absorbcold_percent						
abs-cold		item_absorbcold						
dur		maxdurability						
dur%		item_maxdurability_percent						
regen		hpregen						
thorns		item_attackertakesdamage						
swing1		item_fasterattackrate						
swing2		item_fasterattackrate						
swing3		item_fasterattackrate						
gold%		item_goldbonus						
mag%		item_magicbonus						
knock		item_knockback						
regen-stam		staminarecoverybonus						
regen-mana		manarecoverybonus						
stam		maxstamina						
time		item_timeduration						
manasteal		manadrainmindam						
lifesteal		lifedrainmindam						
ama	0	item_addclassskills						
pal	3	item_addclassskills						
nec	2	item_addclassskills						
sor	1	item_addclassskills						
bar	4	item_addclassskills						
herb		item_doubleherbduration						
light		item_lightradius						
color		item_lightcolor						
ease		item_req_percent						
move1		item_fastermovevelocity						
move2		item_fastermovevelocity						
move3		item_fastermovevelocity						
balance1		item_fastergethitrate						
balance2		item_fastergethitrate						
balance3		item_fastergethitrate						
block1		item_fasterblockrate						
block2		item_fasterblockrate						
block3		item_fasterblockrate						
cast1		item_fastercastrate						
cast2		item_fastercastrate						
cast3		item_fastercastrate						
res-pois-len		item_poisonlengthresist						
dmg		item_normaldamage						
howl		item_howl						
stupidity		item_stupidity						
ignore-ac		item_ignoretargetac						
reduce-ac		item_fractionaltargetac						
noheal		item_preventheal						
half-freeze		item_halffreezeduration						
att%		item_tohit_percent						
dmg-ac		item_damagetargetac						
dmg-demon		item_demondamage_percent						
dmg-undead		item_undeaddamage_percent						
att-demon		item_demon_tohit						
att-undead		item_undead_tohit						
throw		item_throwable						
fireskill	1	item_elemskill	item_elemskill_fire					
allskills		item_allskills						
light-thorns		item_attackertakeslightdamage						
freeze		item_freeze						
openwounds		item_openwounds						
crush		item_crushingblow						
kick		item_kickdamage						
mana-kill		item_manaafterkill						
demon-heal		item_healafterdemonkill						
bloody		item_extrablood						
deadly		item_deadlystrike						
slow		item_slow						
nofreeze		item_cannotbefrozen						
stamdrain		item_staminadrainpct						
reanimate		item_reanimate						
pierce		item_pierce						
magicarrow		item_magicarrow						
explosivearrow		item_explosivearrow						
Expansion								
dru	5	item_addclassskills						
ass	6	item_addclassskills						
skill		item_singleskill						
skilltab		item_addskill_tab						
aura		item_aura						
att-skill		item_skillonattack						
hit-skill		item_skillonhit						
gethit-skill		item_skillongethit						
gembonus								
regen-dur								
fire-fx								
ltng-fx								
sock		item_numsockets						
dmg-fire		firemindam	firemaxdam					
dmg-ltng		lightmindam	lightmaxdam					
dmg-mag		magicmindam	magicmaxdam					
dmg-cold		coldmindam	coldmaxdam	coldlength				
dmg-pois		poisonmindam	poisonmaxdam	poisonlength				
dmg-throw		item_throw_mindamage	item_throw_maxdamage					
dmg-norm		mindamage	maxdamage					
ac/lvl		item_armor_perlevel						
ac%/lvl		item_armorpercent_perlevel						
hp/lvl		item_hp_perlevel						
mana/lvl		item_mana_perlevel						
dmg/lvl		item_maxdamage_perlevel						
dmg%/lvl		item_maxdamage_percent_perlevel						
str/lvl		item_strength_perlevel						
dex/lvl		item_dexterity_perlevel						
enr/lvl		item_energy_perlevel						
vit/lvl		item_vitality_perlevel						
att/lvl		item_tohit_perlevel						
att%/lvl		item_tohitpercent_perlevel						
dmg-cold/lvl		item_cold_damagemax_perlevel						
dmg-fire/lvl		item_fire_damagemax_perlevel						
dmg-ltng/lvl		item_ltng_damagemax_perlevel						
dmg-pois/lvl		item_pois_damagemax_perlevel						
res-cold/lvl		item_resist_cold_perlevel						
res-fire/lvl		item_resist_fire_perlevel						
res-ltng/lvl		item_resist_ltng_perlevel						
res-pois/lvl		item_resist_pois_perlevel						
abs-cold/lvl		item_absorb_cold_perlevel						
abs-fire/lvl		item_absorb_fire_perlevel						
abs-ltng/lvl		item_absorb_ltng_perlevel						
abs-pois/lvl		item_absorb_pois_perlevel						
thorns/lvl		item_thorns_perlevel						
gold%/lvl		item_find_gold_perlevel						
mag%/lvl		item_find_magic_perlevel						
regen-stam/lvl		item_regenstamina_perlevel						
stam/lvl		item_stamina_perlevel						
dmg-dem/lvl		item_damage_demon_perlevel						
dmg-und/lvl		item_damage_undead_perlevel						
att-dem/lvl		item_tohit_demon_perlevel						
att-und/lvl		item_tohit_undead_perlevel						
crush/lvl		item_crushingblow_perlevel						
wounds/lvl		item_openwounds_perlevel						
kick/lvl		item_kick_damage_perlevel						
deadly/lvl		item_deadlystrike_perlevel						
gems%/lvl								
rep-dur		item_replenish_durability						
rep-quant		item_replenish_quantity						
stack		item_extra_stack						
item%								
dmg-slash								
dmg-slash%								
dmg-crush								
dmg-crush%								
dmg-thrust								
dmg-thrust%								
abs-slash								
abs-crush								
abs-thrust								
abs-slash%								
abs-crush%								
abs-thrust%								
ac/time		item_armor_bytime						
ac%/time		item_armorpercent_bytime						
hp/time		item_hp_bytime						
mana/time		item_mana_bytime						
dmg/time		item_maxdamage_bytime						
dmg%/time		item_maxdamage_percent_bytime						
str/time		item_strength_bytime						
dex/time		item_dexterity_bytime						
enr/time		item_energy_bytime						
vit/time		item_vitality_bytime						
att/time		item_tohit_bytime						
att%/time		item_tohitpercent_bytime						
dmg-cold/time		item_cold_damagemax_bytime						
dmg-fire/time		item_fire_damagemax_bytime						
dmg-ltng/time		item_ltng_damagemax_bytime						
dmg-pois/time		item_pois_damagemax_bytime						
res-cold/time		item_resist_cold_bytime						
res-fire/time		item_resist_fire_bytime						
res-ltng/time		item_resist_ltng_bytime						
res-pois/time		item_resist_pois_bytime						
abs-cold/time		item_absorb_cold_bytime						
abs-fire/time		item_absorb_fire_bytime						
abs-ltng/time		item_absorb_ltng_bytime						
abs-pois/time		item_absorb_pois_bytime						
gold%/time		item_find_gold_bytime						
mag%/time		item_find_magic_bytime						
regen-stam/time		item_regenstamina_bytime						
stam/time		item_stamina_bytime						
dmg-dem/time		item_damage_demon_bytime						
dmg-und/time		item_damage_undead_bytime						
att-dem/time		item_tohit_demon_bytime						
att-und/time		item_tohit_undead_bytime						
crush/time		item_crushingblow_bytime						
wounds/time		item_openwounds_bytime						
kick/time		item_kick_damage_bytime						
deadly/time		item_deadlystrike_bytime						
gems%/time								
pierce-fire		passive_fire_pierce						
pierce-ltng		passive_ltng_pierce						
pierce-cold		passive_cold_pierce						
pierce-pois		passive_pois_pierce						
dmg-mon								
dmg%-mon								
att-mon								
att%-mon								
ac-mon								
ac%-mon								
indestruct								
charged		item_charged_skill						
extra-fire		passive_fire_mastery						
extra-ltng		passive_ltng_mastery						
extra-cold		passive_cold_mastery						
extra-pois		passive_pois_mastery						
dmg-elem		firemindam	firemaxdam	lightmindam	lightmaxdam	coldmindam	coldmaxdam	coldlength
dmg-elem-min		firemindam	lightmindam	coldmindam				
dmg-elem-max		firemaxdam	lightmaxdam	coldmaxdam	coldlength			
all-stats		strength	energy	dexterity	vitality			
addxp		item_addexperience						
heal-kill		item_healafterkill						
cheap		item_reducedprices						
rip		item_restinpeace						
att-mon%		attack_vs_montype						
dmg-mon%		damage_vs_montype						
kill-skill		item_skillonkill						
death-skill		item_skillondeath						
levelup-skill		item_skillonlevelup						
skill-rand		item_singleskill						
fade		fade						
levelreq		item_levelreq						
ethereal								
oskill		item_nonclassskill						
state		state						
randclassskill3	3	item_addclassskills						
splash		item_splashonhit						
corrupt		corrupted						
corruptnum		corruptor						
heroed		heroic						
randclassskill2	2	item_addclassskills						
coldskill	4	item_elemskill	item_elemskill_cold					
ltngskill	2	item_elemskill	item_elemskill_lightning					
poisskill	5	item_elemskill	item_elemskill_poison					
magskill	3	item_elemskill	item_elemskill_magic					
velocity%		velocitypercent						
mapdefense		map_defense						
map-mon-fireres		map_mon_fireresist						
map-play-fireres		map_play_fireresist						
map-play-mag-gold%		map_play_magicbonus	map_play_goldbonus					
map-glob-density		map_glob_density						
map-play-addxp		map_play_addexperience						
map-glob-arealevel		map_glob_arealevel						
map-glob-monsterrarity		map_glob_monsterrarity						
map-mon-fire-min		map_mon_firemindam						
map-mon-fire-max		map_mon_firemaxdam						
map-mon-ltng-min		map_mon_lightmindam						
map-mon-ltng-max		map_mon_lightmaxdam						
map-mon-mag-min		map_mon_magicmindam						
map-mon-mag-max		map_mon_magicmaxdam						
map-mon-dmg-cold		map_mon_coldmindam	map_mon_coldmaxdam	map_mon_coldlength				
map-mon-dmg-pois		map_mon_poisonmindam	map_mon_poisonmaxdam	map_mon_poisonlength				
map-mon-extra-fire		map_mon_passive_fire_mastery						
map-mon-extra-ltng		map_mon_passive_ltng_mastery						
map-mon-extra-cold		map_mon_passive_cold_mastery						
map-mon-extra-pois		map_mon_passive_pois_mastery						
map-mon-att-cast-speed		map_mon_fasterattackrate	map_mon_fastercastrate					
map-mon-att-pierce		map_mon_tohit	map_mon_pierce					
map-mon-ac%		map_mon_ac%						
map-mon-abs-fire%		map_mon_absorbcold_percent						
map-mon-abs-ltng%		map_mon_absorbmagic_percent						
map-mon-abs-mag%		map_mon_absorblight_percent						
map-mon-abs-cold%		map_mon_absorbfire_percent						
map-mon-red-dmg		map_mon_normal_damage_reduction						
map-mon-velocity%		map_mon_velocitypercent						
map-mon-regen		map_mon_hpregen						
map-mon-lifesteal-hp%		map_mon_lifedrainmindam	map_mon_maxhp_percent					
map-mon-balance1		map_mon_fastergethitrate						
map-mon-hp%		map_mon_maxhp_percent						
map-mon-openwounds		map_mon_openwounds						
map-mon-crush		map_mon_crushingblow						
map-mon-curseresist-hp%		map_mon_curse_resistance	map_mon_maxhp_percent					
map-play-ac%		map_play_ac%						
map-play-balance1		map_play_fastergethitrate						
map-play-block		map_play_toblock						
map-play-regen		map_play_hpregen						
map-mon-pierce-fire		map_mon_passive_fire_pierce						
map-mon-pierce-ltng		map_mon_passive_ltng_pierce						
map-mon-pierce-cold		map_mon_passive_cold_pierce						
map-mon-pierce-pois		map_mon_passive_pois_pierce						
map-play-res-all		map_play_fireresist	map_play_lightresist	map_play_coldresist	map_play_poisonresist			
map-play-res-all-max		map_play_maxfireresist	map_play_maxlightresist	map_play_maxcoldresist	map_play_maxpoisonresist			
map-mon-ed%		map_mon_ed%						
map-mon-splash		map_mon_splash						
rep-charge		item_replenish_charges						
leapspeed		item_leap_speed						
maxcurse		max_curses						
randelemskill	1	item_elemskill						
curse-res		curse_resistance						
heal-hit		item_healafterhit						
randclassskill1	1	item_addclassskills						
map-mon-phys-as-extra-ltng		map_mon_phys_as_extra_ltng						
map-mon-phys-as-extra-cold		map_mon_phys_as_extra_cold						
map-mon-phys-as-extra-fire		map_mon_phys_as_extra_fire						
map-mon-phys-as-extra-pois		map_mon_phys_as_extra_pois						
map-mon-phys-as-extra-mag		map_mon_phys_as_extra_mag						
map-glob-add-mon-doll		map_glob_add_mon_doll						
map-glob-add-mon-succ		map_glob_add_mon_succ						
map-glob-add-mon-vamp		map_glob_add_mon_vamp						
map-glob-add-mon-cow		map_glob_add_mon_cow						
map-glob-add-mon-horde		map_glob_add_mon_horde						
map-glob-add-mon-ghost		map_glob_add_mon_ghost						
extra-bonespears		extra_bonespears						
extra-revives		extra_revives						
extra-spirits		extra_spirits						
pierce-phys		passive_phys_pierce						
immune-prop		immune_stat						
map-mon-deadlystrike		map_mon_deadlystrike						
map-mon-cannotbefrozen		map_mon_cannotbefrozen						
map-play-fasterattackrate		map_play_fasterattackrate						
map-play-fastercastrate		map_play_fastercastrate						
